epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.4185,0.94703,2.90918,1.03699,0.01233,0.76478,0.42388,0.27699,0.75663,2.90671,0.87189,0.00036674,0.00036674,0.00036674
2,13.4778,0.80712,1.2667,0.94872,0.0134,0.97849,0.4027,0.30199,0.66181,3.08615,0.88811,0.000742724,0.000742724,0.000742724
3,17.4019,0.76024,0.946,0.96105,0.01283,0.83266,0.64114,0.50893,0.66577,2.35705,0.90822,0.00111112,0.00111112,0.00111112
4,21.1774,0.74873,0.8594,0.94692,1,0.44533,0.90341,0.7547,0.62806,1.69856,0.86464,0.00147192,0.00147192,0.00147192
5,24.8889,0.70495,0.81546,0.92423,0.90927,0.90192,0.99427,0.83297,0.57729,0.94032,0.89113,0.00160099,0.00160099,0.00160099
6,28.5976,0.70456,0.77556,0.92762,1,0.7937,0.92583,0.77574,0.57579,1.07741,0.85703,0.00158448,0.00158448,0.00158448
7,32.3446,0.66724,0.71598,0.90815,0.98895,0.9703,0.9899,0.82257,0.5658,0.57785,0.89716,0.00156798,0.00156798,0.00156798
8,36.3746,0.66155,0.69292,0.90568,0.99702,0.97225,0.9912,0.82882,0.54107,0.54771,0.8586,0.00155148,0.00155148,0.00155148
9,40.031,0.66365,0.65272,0.89931,0.99443,0.94981,0.98834,0.83711,0.4929,0.56762,0.84863,0.00153497,0.00153497,0.00153497
10,43.8002,0.62855,0.6179,0.89657,0.99692,0.96875,0.99474,0.86676,0.46503,0.4332,0.87129,0.00151847,0.00151847,0.00151847
11,47.4945,0.63609,0.61359,0.89818,0.99653,0.9516,0.99442,0.85606,0.48097,0.42853,0.83251,0.00150197,0.00150197,0.00150197
12,51.1649,0.62849,0.58462,0.88902,0.98579,0.97312,0.99261,0.81353,0.56453,0.44274,0.89218,0.00148546,0.00148546,0.00148546
13,54.8168,0.61376,0.57167,0.88647,0.9896,0.95766,0.99046,0.87359,0.47759,0.46894,0.8324,0.00146896,0.00146896,0.00146896
14,58.5706,0.59388,0.55506,0.87877,0.99414,0.96594,0.995,0.88547,0.43771,0.37015,0.82738,0.00145246,0.00145246,0.00145246
15,62.3175,0.5933,0.53805,0.88147,0.99288,0.99633,0.99495,0.85523,0.49956,0.39908,0.84771,0.00143595,0.00143595,0.00143595
16,66.2143,0.60159,0.5301,0.87492,0.99933,0.98283,0.99479,0.87113,0.43293,0.34932,0.82388,0.00141945,0.00141945,0.00141945
17,69.9791,0.59388,0.52314,0.8836,0.97655,0.99243,0.99447,0.86231,0.43939,0.34778,0.83267,0.00140295,0.00140295,0.00140295
18,73.5506,0.59967,0.50078,0.88648,0.98219,0.99574,0.995,0.87479,0.44705,0.35933,0.83779,0.00138644,0.00138644,0.00138644
19,77.2624,0.58067,0.49345,0.87777,0.9738,0.96821,0.99473,0.88279,0.42049,0.34229,0.82324,0.00136994,0.00136994,0.00136994
20,81.044,0.58484,0.47907,0.87282,0.98218,0.98908,0.995,0.88083,0.40073,0.35489,0.81976,0.00135344,0.00135344,0.00135344
21,84.7972,0.55938,0.48253,0.86624,0.99147,0.98971,0.995,0.8837,0.40262,0.32872,0.81886,0.00133693,0.00133693,0.00133693
22,88.5655,0.56985,0.46957,0.85989,0.98941,0.98798,0.995,0.87995,0.4145,0.38319,0.82887,0.00132043,0.00132043,0.00132043
23,92.2623,0.57922,0.46409,0.86879,0.99791,0.99553,0.995,0.85536,0.425,0.31136,0.82924,0.00130393,0.00130393,0.00130393
24,96.0018,0.56376,0.45144,0.87036,0.99797,0.99541,0.995,0.85364,0.43718,0.32273,0.8355,0.00128742,0.00128742,0.00128742
